Filename,UnifiedQualityScore,BackgroundUniformity,IlluminationUniformity,LuminanceMean,LuminanceVariance,UnderExposurePrevention,OverExposurePrevention,DynamicRange,Sharpness,CompressionArtifacts,NaturalColour,SingleFacePresent,EyesOpen,MouthClosed,EyesVisible,MouthOcclusionPrevention,FaceOcclusionPrevention,InterEyeDistance,HeadSize,LeftwardCropOfTheFaceImage,RightwardCropOfTheFaceImage,MarginAboveOfTheFaceImage,MarginBelowOfTheFaceImage,HeadPoseYaw,HeadPosePitch,HeadPoseRoll,ExpressionNeutrality,NoHeadCoverings,UnifiedQualityScore.scalar,BackgroundUniformity.scalar,IlluminationUniformity.scalar,LuminanceMean.scalar,LuminanceVariance.scalar,UnderExposurePrevention.scalar,OverExposurePrevention.scalar,DynamicRange.scalar,Sharpness.scalar,CompressionArtifacts.scalar,NaturalColour.scalar,SingleFacePresent.scalar,EyesOpen.scalar,MouthClosed.scalar,EyesVisible.scalar,MouthOcclusionPrevention.scalar,FaceOcclusionPrevention.scalar,InterEyeDistance.scalar,HeadSize.scalar,LeftwardCropOfTheFaceImage.scalar,RightwardCropOfTheFaceImage.scalar,MarginAboveOfTheFaceImage.scalar,MarginBelowOfTheFaceImage.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar,ExpressionNeutrality.scalar,NoHeadCoverings.scalar,assessment_time_in_ms
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/0296_01.jpg,16.309937,4.575428,0.716263,0.260671,0.019227,0.139797,0,7.111563,47,0.81734,0,0,0.077096,0.154426,0.00395,0.164452,0.228998,36.250008,0.333704,3.09224,3.654466,1.349901,1.651474,-27.97048,14.026513,19.02749,-13112.24219,0,7,98,90,77,99,100,100,89,100,100,100,100,100,68,100,84,77,16,18,100,100,38,18,78,94,89,16,100,278
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02970.png,22.737371,37.005678,0.331946,0.451924,0.030264,0.022656,0.000022,7.346989,50,0.988519,0,0,0.078148,0.020311,0.102812,0,0.207703,255.377501,0.45613,2.783746,2.806159,1.012699,1.179698,29.128157,-4.301131,-2.295142,1169.41272,0,47,82,72,99,90,100,100,92,100,100,100,100,100,95,90,100,79,100,94,100,100,2,0,76,99,100,77,100,279
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02971.png,22.311609,164.802872,0.157025,0.098038,0.01004,0.681466,0,5.890344,38,0.988477,2.299664,0,0.07571,0.108236,0,0,0.009835,247.950268,0.424153,2.601061,2.592869,1.141981,1.215658,-10.069271,8.824374,0.9777,-14326.12305,0,43,33,57,12,93,99,100,74,99,100,89,100,100,82,100,100,99,100,75,100,100,7,0,97,98,100,13,100,280
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02972.png,19.626383,90.22128,0.328947,0.20764,0.013613,0.112709,0,6.785235,-4,0.995584,0,0,0.03157,0.052962,0.00094,0,0.053863,268.143312,0.387218,2.440282,2.38058,1.209561,1.376223,-1.861097,14.716952,0.066775,-3792.618408,0,21,59,72,54,99,100,100,85,72,100,100,100,76,92,100,100,95,100,44,100,100,13,1,100,94,100,56,100,287
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02973.png,25.070189,45.922867,0.755102,0.097696,0.005527,0.682058,0,5.69587,37,0.983419,0,0,0.080114,0.105641,0,0,0.005737,258.978521,0.418546,2.526023,2.586262,1.145684,1.243685,15.950242,4.369524,0.030068,-11723.15723,0,69,78,92,11,70,99,100,71,98,100,100,100,100,83,100,100,99,100,70,100,100,7,0,92,99,100,21,100,270
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02974.png,26.070604,217.898335,0.353535,0.251744,0.03171,0.221615,0,7.254844,50,0.991669,0,0,0.060862,0.077079,0,0,0.014322,246.987988,0.45681,2.602437,2.594241,1.050775,1.140658,8.91823,4.831449,0.929677,-16262.42383,0,77,21,73,74,88,100,100,91,100,100,100,100,98,89,100,100,99,100,93,100,100,3,0,98,99,100,10,100,285
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02975.png,23.775473,26.763043,0.715851,0.276546,0.014342,0.048879,0,6.929252,13,0.986093,0,0.133332,0.101194,0.003284,0,0.0122,0.112256,261.374238,0.420587,2.459608,2.463439,1.145988,1.23432,-2.994939,4.391813,0.17284,2265.655762,0,57,87,90,82,99,100,100,87,90,100,100,87,100,96,100,99,89,100,71,100,100,7,0,100,99,100,81,100,290
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02976.png,21.685642,82.067224,0.234568,0.331754,0.041466,0.108931,0,7.563342,39,0.996152,0,0,0.111785,0.003447,0.057605,0,0.139647,263.248136,0.400715,2.487322,2.554441,1.216147,1.279514,-15.814117,6.125993,3.842003,4941.004883,0,38,62,65,93,78,100,100,95,99,100,100,100,100,96,94,100,86,100,54,100,100,14,1,93,99,100,88,100,281
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02977.png,24.617569,121.377345,0.725714,0.333945,0.02696,0.057129,0.000041,7.360888,-1,0.995138,0,0,0.08269,0.108973,0.031485,0,0.090237,252.691201,0.431642,2.531666,2.531666,1.108594,1.208142,-4.214392,7.646538,1.026599,-14007.15039,0,65,47,91,94,93,100,100,92,76,100,100,100,100,82,97,100,91,100,82,100,100,5,0,99,98,100,14,100,293
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02978.png,26.551943,101.027573,0.74481,0.190435,0.005825,0.120559,0.000016,6.305413,49,0.98718,2.602612,0,0.06915,0.006214,0,0,0.020958,262.142734,0.444478,2.495751,2.507486,1.054578,1.195189,-12.793895,12.895324,0.575953,8427.668945,0,80,55,92,45,73,100,100,79,100,100,87,100,99,96,100,100,98,100,94,100,100,3,0,95,95,100,94,100,262
